iter	Passed	Remaining
0	121	121548
1	158	78990
2	191	63573
3	229	57178
4	262	52307
5	294	48805
6	323	45930
7	353	43842
8	389	42905
9	437	43346
10	471	42427
11	508	41907
12	547	41563
13	584	41132
14	612	40225
15	642	39515
16	677	39177
17	705	38468
18	735	37998
19	767	37604
20	795	37075
21	823	36621
22	854	36317
23	889	36158
24	918	35802
25	943	35346
26	973	35097
27	998	34647
28	1028	34443
29	1054	34090
30	1081	33790
31	1105	33427
32	1129	33098
33	1151	32713
34	1178	32504
35	1203	32223
36	1226	31929
37	1254	31768
38	1280	31559
39	1305	31333
40	1326	31037
41	1352	30844
42	1372	30554
43	1400	30433
44	1439	30550
45	1458	30255
46	1481	30030
47	1509	29943
48	1539	29869
49	1566	29768
50	1591	29622
51	1617	29484
52	1642	29355
53	1669	29249
54	1694	29107
55	1722	29030
56	1745	28880
57	1770	28758
58	1793	28598
59	1822	28554
60	1847	28434
61	1869	28290
62	1890	28114
63	1911	27955
64	1941	27930
65	1971	27901
66	1995	27783
67	2017	27646
68	2042	27559
69	2064	27422
70	2088	27330
71	2109	27192
72	2130	27057
73	2155	26974
74	2181	26910
75	2206	26831
76	2228	26714
77	2254	26649
78	2282	26605
79	2302	26477
80	2327	26410
81	2346	26269
82	2367	26155
83	2394	26107
84	2420	26060
85	2445	25991
86	2467	25895
87	2494	25849
88	2521	25808
89	2551	25798
90	2573	25707
91	2600	25662
92	2620	25560
93	2645	25498
94	2667	25412
95	2699	25417
96	2721	25338
97	2746	25278
98	2771	25223
99	2797	25180
100	2821	25116
101	2847	25069
102	2871	25006
103	2896	24958
104	2926	24942
105	2955	24927
106	2982	24893
107	3009	24854
108	3035	24814
109	3059	24754
110	3086	24718
111	3108	24645
112	3131	24580
113	3154	24519
114	3175	24439
115	3209	24456
116	3235	24416
117	3261	24381
118	3290	24358
119	3312	24293
120	3345	24306
121	3380	24328
122	3406	24292
123	3431	24242
124	3459	24216
125	3484	24171
126	3511	24138
127	3536	24094
128	3559	24032
129	3582	23978
130	3606	23926
131	3631	23880
132	3661	23870
133	3682	23799
134	3710	23774
135	3732	23711
136	3757	23671
137	3779	23609
138	3808	23588
139	3830	23531
140	3854	23481
141	3877	23428
142	3900	23375
143	3921	23310
144	3952	23304
145	3984	23304
146	4013	23290
147	4045	23288
148	4071	23253
149	4095	23205
150	4117	23151
151	4140	23100
152	4164	23053
153	4186	22997
154	4216	22988
155	4242	22952
156	4267	22912
157	4292	22875
158	4318	22843
159	4341	22793
160	4363	22741
161	4385	22686
162	4408	22635
163	4430	22584
164	4455	22545
165	4477	22496
166	4502	22459
167	4523	22401
168	4546	22357
169	4569	22308
170	4588	22242
171	4640	22339
172	4694	22443
173	4729	22450
174	4761	22444
175	4791	22433
176	4823	22428
177	4853	22415
178	4884	22404
179	4915	22392
180	4946	22383
181	4974	22358
182	5003	22339
183	5030	22309
184	5063	22306
185	5096	22303
186	5117	22246
187	5144	22221
188	5167	22172
189	5185	22104
190	5210	22071
191	5231	22016
192	5257	21983
193	5280	21939
194	5314	21938
195	5334	21882
196	5360	21851
197	5382	21802
198	5404	21754
199	5425	21702
200	5447	21656
201	5479	21647
202	5504	21609
203	5533	21590
204	5556	21547
205	5574	21486
206	5600	21456
207	5633	21449
208	5652	21393
209	5688	21399
210	5718	21384
211	5743	21349
212	5766	21305
213	5789	21263
214	5821	21254
215	5851	21237
216	5885	21235
217	5919	21234
218	5953	21231
219	5987	21228
220	6028	21249
221	6068	21266
222	6101	21259
223	6134	21251
224	6161	21221
225	6190	21202
226	6215	21166
227	6243	21141
228	6273	21121
229	6308	21118
230	6335	21090
231	6361	21059
232	6391	21039
233	6421	21020
234	6455	21014
235	6481	20981
236	6511	20963
237	6559	21000
238	6583	20962
239	6606	20919
240	6630	20881
241	6659	20858
242	6680	20812
243	6704	20771
244	6729	20738
245	6752	20695
246	6781	20673
247	6801	20623
248	6835	20615
249	6861	20585
250	6881	20536
251	6902	20489
252	6925	20447
253	6949	20411
254	6974	20377
255	6998	20339
256	7020	20296
257	7038	20243
258	7062	20207
259	7087	20171
260	7108	20127
261	7130	20084
262	7154	20048
263	7179	20015
264	7200	19970
265	7221	19927
266	7248	19898
267	7276	19875
268	7300	19838
269	7322	19797
270	7349	19771
271	7374	19737
272	7398	19700
273	7419	19659
274	7440	19616
275	7459	19567
276	7487	19543
277	7508	19499
278	7528	19454
279	7551	19418
280	7573	19377
281	7599	19347
282	7621	19308
283	7642	19268
284	7667	19235
285	7692	19204
286	7714	19164
287	7738	19132
288	7760	19092
289	7783	19057
290	7810	19028
291	7832	18990
292	7858	18961
293	7888	18943
294	7913	18911
295	7938	18881
296	7959	18840
297	7979	18796
298	8004	18766
299	8029	18735
300	8054	18704
301	8073	18660
302	8095	18623
303	8116	18582
304	8144	18557
305	8165	18518
306	8193	18495
307	8222	18473
308	8248	18445
309	8270	18407
310	8292	18371
311	8312	18331
312	8334	18292
313	8375	18298
314	8406	18281
315	8429	18247
316	8456	18220
317	8479	18186
318	8502	18151
319	8528	18123
320	8550	18086
321	8577	18060
322	8598	18022
323	8620	17985
324	8641	17948
325	8667	17919
326	8689	17884
327	8711	17848
328	8741	17828
329	8764	17794
330	8786	17759
331	8807	17721
332	8831	17689
333	8851	17649
334	8879	17625
335	8903	17594
336	8925	17558
337	8949	17527
338	8972	17494
339	8994	17460
340	9024	17440
341	9049	17410
342	9069	17372
343	9092	17338
344	9115	17306
345	9150	17296
346	9187	17288
347	9214	17264
348	9243	17241
349	9267	17211
350	9298	17192
351	9324	17165
352	9349	17136
353	9374	17107
354	9402	17083
355	9426	17051
356	9447	17016
357	9471	16985
358	9492	16949
359	9519	16923
360	9548	16901
361	9575	16876
362	9604	16854
363	9633	16831
364	9661	16808
365	9685	16777
366	9713	16753
367	9737	16723
368	9762	16693
369	9785	16661
370	9809	16630
371	9840	16612
372	9868	16588
373	9900	16571
374	9928	16547
375	9952	16516
376	9976	16487
377	10008	16469
378	10045	16460
379	10078	16443
380	10110	16425
381	10142	16408
382	10172	16386
383	10212	16381
384	10246	16367
385	10278	16350
386	10307	16326
387	10334	16301
388	10370	16288
389	10412	16286
390	10447	16272
391	10476	16249
392	10505	16226
393	10534	16202
394	10560	16174
395	10590	16153
396	10622	16134
397	10671	16140
398	10702	16121
399	10728	16092
400	10756	16067
401	10787	16046
402	10813	16018
403	10846	16001
404	10873	15974
405	10904	15954
406	10936	15933
407	10962	15906
408	10992	15883
409	11026	15867
410	11050	15836
411	11085	15820
412	11117	15801
413	11161	15799
414	11194	15780
415	11227	15761
416	11264	15748
417	11298	15731
418	11329	15709
419	11363	15692
420	11388	15662
421	11418	15639
422	11456	15626
423	11481	15597
424	11510	15573
425	11540	15549
426	11567	15522
427	11594	15495
428	11623	15471
429	11654	15448
430	11682	15423
431	11711	15398
432	11736	15368
433	11765	15343
434	11793	15317
435	11819	15290
436	11850	15267
437	11879	15242
438	11914	15225
439	11953	15213
440	11982	15189
441	12016	15170
442	12046	15146
443	12077	15124
444	12110	15104
445	12151	15094
446	12189	15080
447	12231	15070
448	12281	15070
449	12308	15043
450	12339	15020
451	12392	15024
452	12437	15018
453	12477	15005
454	12506	14979
455	12537	14956
456	12576	14943
457	12612	14925
458	12650	14910
459	12696	14905
460	12728	14882
461	12768	14868
462	12791	14835
463	12819	14808
464	12851	14786
465	12883	14763
466	12910	14734
467	12930	14699
468	12950	14662
469	12974	14630
470	13003	14604
471	13028	14574
472	13061	14552
473	13089	14525
474	13122	14504
475	13154	14480
476	13186	14457
477	13219	14436
478	13251	14413
479	13271	14377
480	13337	14390
481	13377	14377
482	13426	14371
483	13451	14340
484	13482	14315
485	13506	14285
486	13528	14250
487	13559	14226
488	13590	14201
489	13620	14176
490	13643	14143
491	13676	14121
492	13695	14084
493	13722	14055
494	13755	14033
495	13789	14011
496	13822	13989
497	13845	13957
498	13874	13930
499	13896	13896
500	13926	13871
501	13947	13836
502	13978	13811
503	14010	13788
504	14044	13766
505	14080	13746
506	14103	13713
507	14127	13682
508	14150	13649
509	14173	13617
510	14197	13586
511	14217	13551
512	14240	13519
513	14263	13486
514	14285	13453
515	14304	13417
516	14327	13385
517	14352	13354
518	14376	13323
519	14397	13290
520	14429	13266
521	14462	13243
522	14490	13216
523	14521	13191
524	14550	13164
525	14579	13138
526	14606	13110
527	14648	13094
528	14675	13066
529	14705	13040
530	14729	13009
531	14750	12976
532	14772	12942
533	14795	12911
534	14819	12880
535	14841	12847
536	14867	12818
537	14882	12779
538	14905	12748
539	14934	12722
540	14966	12697
541	14992	12668
542	15014	12636
543	15038	12605
544	15061	12573
545	15084	12543
546	15107	12510
547	15127	12477
548	15149	12445
549	15173	12414
550	15193	12380
551	15226	12357
552	15256	12331
553	15276	12298
554	15298	12266
555	15319	12233
556	15339	12200
557	15353	12161
558	15376	12130
559	15396	12097
560	15426	12071
561	15465	12053
562	15495	12027
563	15529	12005
564	15558	11978
565	15589	11953
566	15618	11927
567	15636	11892
568	15661	11863
569	15677	11827
570	15701	11796
571	15726	11767
572	15749	11736
573	15776	11708
574	15800	11678
575	15831	11653
576	15854	11622
577	15880	11594
578	15901	11562
579	15922	11530
580	15956	11507
581	15981	11478
582	16004	11447
583	16029	11418
584	16055	11389
585	16076	11357
586	16123	11344
587	16160	11323
588	16188	11296
589	16217	11270
590	16248	11244
591	16281	11221
592	16311	11194
593	16337	11166
594	16366	11140
595	16390	11110
596	16413	11079
597	16439	11051
598	16478	11031
599	16511	11007
600	16552	10989
601	16577	10959
602	16605	10932
603	16631	10903
604	16658	10875
605	16686	10849
606	16709	10818
607	16734	10789
608	16759	10760
609	16789	10734
610	16824	10711
611	16856	10686
612	16890	10663
613	16917	10635
614	16942	10606
615	16978	10584
616	17021	10566
617	17047	10537
618	17070	10506
619	17094	10477
620	17116	10446
621	17149	10421
622	17172	10391
623	17204	10366
624	17235	10341
625	17263	10313
626	17287	10284
627	17318	10258
628	17353	10235
629	17397	10217
630	17418	10185
631	17449	10160
632	17471	10129
633	17500	10102
634	17522	10071
635	17548	10043
636	17570	10012
637	17592	9981
638	17615	9951
639	17637	9921
640	17670	9896
641	17691	9865
642	17717	9836
643	17741	9807
644	17768	9779
645	17789	9748
646	17818	9721
647	17844	9693
648	17871	9665
649	17892	9634
650	17914	9604
651	17936	9573
652	17957	9542
653	17977	9511
654	18010	9486
655	18034	9456
656	18057	9427
657	18080	9397
658	18109	9370
659	18132	9340
660	18157	9312
661	18186	9285
662	18214	9258
663	18246	9233
664	18270	9203
665	18298	9176
666	18329	9150
667	18355	9122
668	18391	9099
669	18427	9076
670	18473	9057
671	18497	9028
672	18524	9000
673	18547	8971
674	18571	8941
675	18601	8915
676	18635	8891
677	18674	8868
678	18697	8839
679	18719	8809
680	18744	8780
681	18768	8751
682	18791	8721
683	18820	8694
684	18852	8669
685	18885	8644
686	18916	8618
687	18938	8588
688	18963	8559
689	18985	8529
690	19008	8500
691	19035	8472
692	19056	8442
693	19081	8413
694	19105	8384
695	19127	8354
696	19152	8326
697	19175	8296
698	19203	8269
699	19227	8240
700	19251	8211
701	19272	8181
702	19293	8150
703	19318	8122
704	19340	8092
705	19362	8062
706	19387	8034
707	19412	8006
708	19438	7978
709	19470	7952
710	19501	7926
711	19535	7901
712	19563	7874
713	19593	7848
714	19621	7821
715	19647	7793
716	19671	7764
717	19694	7735
718	19717	7705
719	19742	7677
720	19765	7648
721	19791	7620
722	19812	7590
723	19839	7562
724	19862	7533
725	19882	7503
726	19906	7475
727	19929	7446
728	19953	7417
729	19976	7388
730	19999	7359
731	20022	7330
732	20049	7303
733	20072	7274
734	20096	7245
735	20117	7215
736	20138	7186
737	20162	7158
738	20178	7126
739	20200	7097
740	20223	7068
741	20235	7036
742	20260	7008
743	20285	6980
744	20306	6950
745	20329	6921
746	20352	6893
747	20377	6865
748	20402	6837
749	20422	6807
750	20447	6779
751	20473	6751
